Datetime,Set_temp,Hvac_state,Room_occupation,Window,Hvac_mode,Hvac_state_manual,Room_temp_up,Room_temp_down,Room_temp_cw,Room_temp_ccw,Room_temp,Outside_temp,Water_temp,Irradiation,Nan_data,is_detected,Orientation_S,Orientation_W,Orientation_N,Orientation_E,FS_0,FS_1,FS_2,FS_3
2015-01-01 00:00:00,0,0,0,0,0,0,18,22,16,20,20.0,-14.0,69,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:05:00,0,0,0,0,0,0,18,22,16,20,20.09,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:10:00,0,0,0,0,0,0,18,22,16,20,20.18,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:15:00,0,0,0,0,0,0,18,22,16,20,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:20:00,0,0,0,0,0,0,18,22,16,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:25:00,0,0,0,0,0,0,18,22,16,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:30:00,0,0,0,0,0,0,18,22,16,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:35:00,0,0,0,0,0,0,18,22,16,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:40:00,0,0,0,0,0,0,18,22,16,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:45:00,0,0,0,0,0,0,18,22,15,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:50:00,0,0,0,0,0,0,18,22,15,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 00:55:00,0,0,0,0,0,0,18,22,15,19,20.19,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:00:00,0,0,0,0,0,0,18,22,15,19,20.12,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:05:00,0,0,0,0,0,0,18,22,15,19,20.04,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:10:00,0,0,0,0,0,0,18,22,15,19,20.03,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:15:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:20:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:25:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,69,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:30:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:35:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:40:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:45:00,0,0,0,0,0,0,18,22,15,20,20.03,-14.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:50:00,0,0,0,0,0,0,18,22,15,20,20.03,-13.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 01:55:00,0,0,0,0,0,0,18,22,15,20,20.04,-13.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:00:00,0,0,0,0,0,0,18,22,15,20,19.96,-13.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:05:00,0,0,0,0,0,0,18,22,15,20,19.88,-13.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:10:00,0,0,0,0,0,0,18,22,15,19,19.87,-13.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:15:00,0,0,0,0,0,0,18,22,15,19,19.88,-13.0,68,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:20:00,0,0,0,0,0,0,18,22,15,19,19.88,-13.0,67,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:25:00,0,0,0,0,0,0,18,22,15,19,19.89,-12.0,67,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:30:00,0,0,0,0,0,0,18,22,15,19,19.89,-12.0,67,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:35:00,0,0,0,0,0,0,18,22,15,19,19.89,-12.0,67,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:40:00,0,0,0,0,0,0,18,22,15,19,19.9,-12.0,67,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:45:00,0,0,0,0,0,0,18,22,15,19,19.9,-12.0,66,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:50:00,0,0,0,0,0,0,18,22,15,19,19.91,-11.0,66,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 02:55:00,0,0,0,0,0,0,18,22,15,19,19.91,-11.0,66,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 03:00:00,0,0,0,0,0,0,18,22,15,19,19.84,-11.0,66,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
2015-01-01 03:05:00,0,0,0,0,0,0,18,22,15,19,19.77,-11.0,66,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
